"","date","region","value"
"152",2017-12-01,"FR",13.17
"153",2018-01-01,"FR",-16.48
"154",2018-02-01,"FR",6.34
"155",2018-03-01,"FR",17.99
"156",2018-04-01,"FR",17.15
"157",2018-05-01,"FR",-3.06
"158",2018-06-01,"FR",-5.76
"159",2018-07-01,"FR",9.96
"160",2018-08-01,"FR",16.4
"161",2018-09-01,"FR",39.05
"162",2018-10-01,"FR",28
"163",2018-11-01,"FR",38.37
"164",2018-12-01,"FR",10.09
"165",2019-01-01,"FR",-18.71
"166",2019-02-01,"FR",-2.64
"167",2019-03-01,"FR",38.62
"168",2019-04-01,"FR",19.15
"169",2019-05-01,"FR",25.81
"170",2019-06-01,"FR",14.33
"171",2019-07-01,"FR",-7.73
"172",2019-08-01,"FR",19.04
"173",2019-09-01,"FR",28.86
"174",2019-10-01,"FR",40.01
"175",2019-11-01,"FR",40.15
"176",2019-12-01,"FR",11.73
"177",2020-01-01,"FR",-7.7
"178",2020-02-01,"FR",15.4
"179",2020-03-01,"FR",-4
"180",2020-04-01,"FR",-43.35
"181",2020-05-01,"FR",34.67
"182",2020-06-01,"FR",13.23
"183",2020-07-01,"FR",-10.76
"184",2020-08-01,"FR",7.63
"185",2020-09-01,"FR",35.91
"186",2020-10-01,"FR",30.34
"187",2020-11-01,"FR",-9.68
"188",2020-12-01,"FR",4.6
"189",2021-01-01,"FR",-33.13
"190",2021-02-01,"FR",-17.64
"191",2021-03-01,"FR",50.53
"192",2021-04-01,"FR",-4.6
"193",2021-05-01,"FR",-8.97
"194",2021-06-01,"FR",-1.29
"195",2021-07-01,"FR",6.01
"196",2021-08-01,"FR",-0.14
"197",2021-09-01,"FR",25.75
"198",2021-10-01,"FR",22.42
"199",2021-11-01,"FR",43.6
"200",2021-12-01,"FR",17.24
"201",2022-01-01,"FR",-35.61
"202",2022-02-01,"FR",16.84
"203",2022-03-01,"FR",34.69
"204",2022-04-01,"FR",17.76
"205",2022-05-01,"FR",0.09
"206",2022-06-01,"FR",-2.38
"207",2022-07-01,"FR",-5.64
"208",2022-08-01,"FR",21.92
